review_text,subtheme_sentiments_pred
great value service fit work lose timevery happy,"[('great value service fit work', 'positive')]"
great service cheap price reliable trustworthy agent,"[('great service cheap price reliable trustworthy agent', 'positive')]"
good service at helpful,"[('good service', 'positive')]"
seamless experience mobile tyre fitter great quick job,"[('seamless experience mobile tyre fitter great quick job', 'positive')]"
efficient good value money,"[('efficient good value money', 'positive')]"
good service good garage,"[('good service good garage', 'positive')]"
good professional price competitive service,"[('good professional price competitive service', 'positive')]"
great price good service select garage,"[('great price good service select garage', 'positive')]"
ease use competitive price,"[('competitive price', 'positive'), ('ease', 'positive')]"
easy use good price,"[('good price', 'positive')]"
brilliant fitting service,"[('brilliant fitting service', 'positive')]"
fast efficient service cheap go direct local garage use garage fit brainer 😃,"[('direct local garage use garage fit brainer', 'positive'), ('fast efficient service', 'positive')]"
easy quick hassle free tyre budget,"[('easy quick hassle free tyre budget', 'positive')]"
great site dead easy usehighly recommend great site dead easy use price definitely cheap retailer area fit redact minor problem appointment time bc case immediately tell,"[('great site', 'positive'), ('dead easy use price', 'negative'), ('bc case', 'neutral')]"
receive excellent service friendly nonsense pleasure business,"[('excellent service friendly nonsense pleasure business', 'positive')]"
service excellent second firstly redactedcom 3 cheap brand want secondly choose fit good tyre company town win win round,"[('second', 'neutral'), ('3', 'neutral'), ('secondly', 'neutral'), ('fit good tyre company town win win', 'positive')]"
good tyre good price turn time place   request singlewell service station   cup tea whle wait drive away fully satisfied well easy make nice change,"[('singlewell service station   cup tea whle wait', 'neutral'), ('singlewell service station   ', 'neutral'), ('good tyre', 'positive'), ('nice change', 'positive'), ('good price turn time place', 'positive')]"
utterly useless redact purchase tyre entire experience unsatisfactory supplier conduct sub standard work try blame complain redacted receive automate response acknowledge complaint work day fail complaint charter abide use,"[('blame complain', 'negative'), ('utterly useless redact purchase tyre entire experience unsatisfactory supplier conduct sub standard work', 'negative'), ('complaint charter abide use', 'negative'), ('automate response', 'neutral')]"
fitting reschedule twice short notice,"[('fitting reschedule', 'neutral')]"
good service tyre great value money compare brand tyre spec definitely use,"[('brand tyre spec', 'neutral'), ('good service tyre great value money', 'positive')]"
excellent service competitive price local garage fit major factor redacted,"[('excellent service competitive price local garage fit major factor', 'positive')]"
price good service excellent process superconvenient,"[('price good service excellent process superconvenient', 'positive')]"
redact number year good price easy pick tyre garage pay turn select date continue use redact recommend,"[('year', 'neutral'), ('good price easy pick tyre garage pay', 'positive'), ('select date', 'neutral'), ('use redact', 'neutral')]"
good price good service importantly provide actual tyre want people like kwik fit provide alternative replace tyre car,"[('people', 'neutral'), ('kwik', 'neutral'), ('alternative replace tyre car', 'neutral'), ('fit', 'positive'), ('actual tyre', 'neutral'), ('good price good service', 'positive')]"
good price plenty customer review product purchase helpful guidanceadvice,"[('good price plenty customer review product', 'positive'), ('helpful guidanceadvice', 'positive')]"
recommend website easy use tyre fitting excellent,"[('website', 'neutral')]"
happy cost easiness purchase,"[('happy cost easiness purchase', 'positive')]"
good tyre affordable price,"[('good tyre affordable price', 'positive')]"
job use againgood price great service,"[('job use againgood price great service', 'positive')]"
good service inc discount tyre,"[('good service inc discount tyre', 'positive')]"
great value great service use future good value prompt service impressed garage woldingham christian car tyre fit becky manage fit quickly tight timescale   helpful easy deal withoverall impressed definitely use,"[('future good value prompt service impressed garage', 'positive'), ('woldingham christian', 'neutral'), ('quickly tight timescale   helpful easy deal withoverall', 'positive'), ('great value great service', 'positive')]"
good price lot choice fail deliver disappoint,"[('good price lot choice', 'positive'), ('disappoint', 'negative')]"
professional service reasonable price,"[('professional service reasonable price', 'neutral')]"
excellent service quick good price hassle free,"[('excellent service quick good price hassle', 'positive')]"
good service good price,"[('good service good price', 'positive')]"
wide choice tyre competitive price please garage choose fit,"[('wide choice tyre competitive price please garage', 'positive'), ('fit', 'positive')]"
easy order agent close,"[('easy order agent', 'positive')]"
simply great great price £ 150 cheap equivalent tyre high street fab service fit home win cost tyre lovethank redact,"[('high street fab', 'positive'), ('£ 150 cheap equivalent tyre high street fab service', 'positive'), ('150', 'neutral')]"
fair price bookable,"[('fair price', 'positive')]"
appointment change book appointment online day later tell not appointment 2 day later mot retest mean not use car day site possible rearranging appointment,"[('car day site', 'neutral'), ('appointment change book appointment', 'neutral'), ('not appointment', 'neutral'), ('2 day later', 'neutral'), ('day later', 'neutral'), ('rearranging appointment', 'neutral')]"
consideration price process simple straightforward,"[('consideration price process', 'neutral')]"
good service value money,"[('good service value money', 'positive')]"
excellent price servicei redact time recent year require quality high performance tyre low price compare supplier online recent purchase issue   bc fault error   contact request resolve issue straight away   customer service problem attend fitting partner   option fitter come customer reasonable £ 6 extra charge   option comment quality curiosity ask recent fitting centre tyre supply fitmeant cost buy tyre surprised hear fully fit price exact tyre £ 75   hesitation recommend   hope allow price rise remain competitive customer service standard stay high,"[('6', 'neutral'), ('tyre £ 75   hesitation', 'negative'), ('excellent price servicei', 'positive'), ('75', 'neutral'), ('quality high performance tyre low price compare supplier', 'negative'), ('price rise', 'neutral'), ('competitive customer service standard', 'positive'), ('customer service problem', 'negative'), ('online recent purchase issue   bc fault error   contact request resolve issue', 'negative'), ('recent year', 'neutral'), ('hope', 'positive'), ('reasonable £ 6 extra charge   option comment quality curiosity', 'neutral'), ('fitting partner   option fitter come customer', 'neutral')]"
bc time year   consistently low price quality brand car require high performance tyre stock need huge number convenient fitter mobile option issue service provide bc fitting supplier,"[('high performance tyre stock', 'neutral'), ('bc fitting supplier', 'neutral'), ('huge number convenient fitter mobile option issue service', 'positive'), ('consistently low price quality brand car', 'negative')]"
mainly wife turn garage 3 year old son garage send 3 correct tyre wife wait hour 4th tyre arrive garage tell contact day wrong tyre arrive let know contact redacted chance tyre turn wife leave impressed have wait book especially have young son come option thing plan book time,"[('3 year old', 'neutral'), ('garage', 'neutral'), ('3 correct tyre wife', 'neutral'), ('wrong tyre arrive', 'negative'), ('contact day', 'neutral'), ('book', 'neutral'), ('wife', 'neutral'), ('hour', 'neutral'), ('contact', 'neutral'), ('young son', 'neutral'), ('3', 'neutral'), ('tyre', 'neutral'), ('3 year old son garage', 'neutral'), ('4th tyre arrive garage', 'neutral'), ('4th', 'neutral')]"
tyre want not local suppier fitting company excellent,"[('tyre', 'neutral'), ('not local suppier fitting company', 'neutral')]"
easy use good selection tyre need mess payment day finance option available useful,"[('good selection tyre', 'positive'), ('mess payment day finance option', 'negative')]"
quick easy efficient cost garage  ,"[('quick easy efficient cost garage', 'positive')]"
easy organise new tyre,"[('new tyre', 'neutral')]"
awful arrange 9 appointment fit tyre not fit 1630pm not use terrible service save hassle ring book direct garage,"[('terrible service', 'negative'), ('9', 'neutral'), ('save hassle ring book direct garage', 'positive'), ('9 appointment fit tyre', 'positive'), ('awful arrange', 'negative')]"
easy use website communication good slot book local fitter unavailable despite accept confirm price excellent speed book fit excellent poor service wheel leave filthy state follow fitting fitter redact,"[('filthy state follow fitting fitter redact', 'neutral'), ('confirm price excellent speed book fit excellent poor service wheel', 'positive'), ('easy use website communication good slot book', 'positive'), ('local fitter', 'neutral')]"
good range tyre available good price numerous convenient fitting location hidden fee,"[('good range tyre available good price numerous convenient fitting location hidden fee', 'positive')]"
easy product price right,"[('easy product price right', 'positive')]"
price service,"[('price service', 'neutral')]"
value money,"[('value', 'positive'), ('money', 'neutral')]"
take numerous phone call chase change timedate appointment tell morning staff book forget send confirmation get garage book return time,"[('confirmation', 'neutral'), ('numerous phone call chase change timedate appointment', 'neutral'), ('tell morning staff book', 'neutral'), ('morning', 'neutral')]"
order tuesday thursday fail till phone late wednesday ie phone fit centre send confirmation email,"[('thursday', 'neutral'), ('confirmation email', 'neutral'), ('order', 'neutral'), ('tuesday', 'neutral'), ('phone', 'neutral'), ('phone fit centre', 'positive')]"
cheap easy way find new tyre fit car,"[('cheap easy way', 'positive'), ('new tyre fit car', 'positive')]"
easy use sort tyre want wife car pay turn right time car voila,"[('easy use sort tyre', 'positive'), ('wife car pay', 'negative')]"
good efficient service competative price,"[('good efficient service competative price', 'positive')]"
customer service awful customer unreliable,"[('customer service awful customer', 'negative')]"
easy buy fitting appointment work,"[('fitting appointment work', 'neutral')]"
easy choose tyre online pick appropriate fitting station,"[('tyre', 'neutral'), ('appropriate fitting station', 'neutral')]"
concerned tyre fit brand new new tyre line 4 michelin pilot 4 recently purchase,"[('4 michelin pilot', 'neutral'), ('michelin', 'neutral'), ('concerned tyre fit brand new new tyre line', 'positive'), ('4', 'neutral')]"
second time redact easy booking reliable service,"[('second', 'neutral'), ('second time redact', 'neutral'), ('reliable service', 'neutral')]"
time well spend task ring find good tyre deal option review simple fitting arrangement package buy redact easy quick task,"[('simple fitting arrangement package buy redact', 'neutral'), ('easy quick task', 'positive'), ('task ring', 'neutral'), ('good tyre deal option', 'positive')]"
tyre fit friday 5th july mobile service tyre balance correctly   vibration bad undriveable   15th   m wait rebalance ridiculous,"[('friday 5th july', 'neutral'), ('tyre fit', 'positive'), ('15th', 'neutral'), ('bad undriveable   15th', 'negative'), ('rebalance', 'neutral'), ('friday 5th july mobile service tyre balance', 'neutral')]"
jury massively mess book customer service agent resolve issue take email phone call time think wheel damage stupidly pre post picture moment not think ve good value money feel like ve try fix problem 5 strong score,"[('fix problem', 'negative'), ('wheel damage', 'negative'), ('good value money', 'positive'), ('email phone call time', 'neutral'), ('5', 'neutral'), ('jury massively mess book customer service agent resolve issue', 'neutral'), ('post picture moment', 'neutral')]"
nice easy good price,"[('nice easy good price', 'positive')]"
wide range garage cheap tyre usual ask,"[('wide range garage cheap tyre usual ask', 'neutral')]"
long garage take work,"[('work', 'neutral'), ('long garage', 'neutral')]"
great value want 2 new mid range tyre go local discount tyre fitter quote £ 68 unknown brandredacted sell decent brand lesswould recommend,"[('68', 'neutral'), ('2', 'neutral'), ('£ 68 unknown brandredacted sell decent brand', 'neutral'), ('great value', 'positive'), ('2 new mid range tyre', 'neutral')]"
great price probably save £ 40 tyre excellent easily navigate website fast efficient courteous service fitting garage highly recommend,"[('£ 40 tyre', 'neutral'), ('website fast efficient courteous service fitting garage', 'positive'), ('great price', 'positive'), ('40', 'neutral')]"
easy purchase great time slot friendly garage,"[('easy purchase', 'positive'), ('great time slot friendly garage', 'positive')]"
continue disappointment garage choose website equip fit tyresappointment reschedule venue   time consult firstwaite hour allot fitting time start worktook 30 minute fit tyre m expert excessivelack contact customer experience impatient receive feedback m sure shortly remove positive,"[('feedback', 'neutral'), ('disappointment garage choose website equip fit tyresappointment reschedule venue   time', 'negative'), ('30 minute', 'neutral'), ('firstwaite hour allot fitting time start', 'neutral'), ('30 minute fit tyre m expert excessivelack contact customer experience impatient', 'positive')]"
delight find redact save £ 100 tyre instead go garagesimple   easy use web site great organisation go like clockwork wait garage appointment tyre timebrilliant,"[('garagesimple   easy use web site great organisation', 'positive'), ('100', 'neutral'), ('delight', 'positive'), ('redact', 'neutral'), ('clockwork wait garage appointment tyre timebrilliant', 'neutral'), ('£ 100 tyre', 'neutral')]"
ease buy easy purchase tyre redacted competitive pricesthe tyre fitting bts garage adfa excellent servce,"[('ease', 'positive'), ('excellent servce', 'positive'), ('competitive pricesthe tyre fitting bts garage', 'positive'), ('easy purchase tyre', 'positive')]"
great service great garage   professional friendly efficient certainly service garage,"[('great service great garage   professional friendly efficient certainly service garage', 'positive')]"
pleased service redacted tyre garage time fit excellent,"[('pleased service', 'positive')]"
excellent service gr8 price,"[('excellent service gr8 price', 'positive')]"
great service good price quick easy order line tyre deliver choose fitting station time thank redact,"[('thank', 'positive'), ('great service good price quick easy order line tyre deliver', 'positive'), ('fitting station time', 'neutral')]"
excellent price service fuss plus choose garage near list provide,"[('garage', 'neutral'), ('excellent price service fuss', 'positive'), ('list', 'neutral')]"
redact excellent service good price,"[('excellent service good price', 'positive')]"
excellent price good service communicationjob,"[('excellent price good service communicationjob', 'positive')]"
excellent service thank helpful speedy service tyre competitive price thank fitter kingsbridge,"[('helpful speedy service tyre competitive price thank fitter kingsbridge', 'positive'), ('excellent service', 'positive')]"
garage not balance tyre correctly mess car wheel alignmentende have garage perform emergency repair car car bmw wheel alignment correctedthe tyre need balanced take garage court damage loss,"[('garage', 'neutral'), ('bmw', 'neutral'), ('emergency repair car car bmw wheel alignment', 'negative'), ('tyre', 'neutral'), ('balanced take garage court damage loss', 'negative'), ('correctedthe tyre', 'neutral')]"
excellent service price straightforward purchase fitting,"[('excellent service price straightforward purchase fitting', 'positive')]"
service receive class cost competitive,"[('service', 'neutral')]"
simple efficient   simple way choose tyre buy tyre multiple option fitting time suit turn hope right tyre time,"[('simple efficient   simple way', 'positive'), ('fitting time suit', 'neutral'), ('tyre buy tyre', 'neutral'), ('multiple option', 'neutral'), ('hope', 'positive')]"
simple use website excellent service approve garage west malling garage kent,"[('simple use website excellent service approve garage west malling garage kent', 'positive')]"
great service efficient friendly fitting agent good value tyre,"[('great service efficient friendly fitting agent good value tyre', 'positive')]"
excellent service start finish competitive price,"[('competitive price', 'positive'), ('excellent service start', 'positive')]"
service receive redact second shame garage not good,"[('second shame garage', 'negative'), ('second', 'neutral'), ('redact', 'neutral'), ('service', 'neutral')]"
good service fault garage thank,"[('good service fault garage thank', 'positive')]"
user friendly booking system comprehensive   easy navigate website totally professional service wish know early,"[('user friendly booking system comprehensive   easy navigate website totally professional service wish', 'positive')]"
easy website use good range tyre competitive price fitting service design accommodate purchaser satisfying experience thank redact,"[('easy website', 'positive'), ('good range tyre competitive price fitting service design', 'positive'), ('purchaser satisfying experience', 'positive'), ('thank redact', 'positive')]"
convenient decent price,"[('convenient decent price', 'neutral')]"
fantastic experience great service lovely product super fast shipping,"[('super fast shipping', 'positive'), ('fantastic experience great service lovely product', 'positive')]"
nice chap fit tyre hour late,[]
cheap rest go smoothly 👍,"[('cheap rest', 'neutral')]"
  girlfriend redact year   fault fantastic service   great price garage fit tyre excellent,"[('fit tyre excellent', 'positive'), ('year', 'neutral'), ('  girlfriend', 'neutral'), ('fantastic service', 'positive'), ('great price garage', 'positive')]"
pleased great service new tyre look good garage exellent,"[('new tyre', 'neutral'), ('great service', 'positive'), ('good garage exellent', 'positive')]"
great price quick fitting great service,"[('quick fitting great service', 'positive'), ('great price', 'positive')]"
excellent value excellent value money tyre mercede c180 amg 125 sport edition combine great service ats euromaster,"[('great service', 'positive'), ('125', 'neutral'), ('c180', 'neutral'), ('125 sport edition', 'neutral')]"
ll struggle find well choice quality price service excellent way replace wear tyre procedure efficient organise wellprice m pensioner ve drive year redact good efficient company encounter price quality service,"[('year', 'neutral'), ('redact good efficient company', 'positive'), ('tyre procedure efficient organise wellprice', 'positive')]"
good price fit way half hour highly recommend,"[('half hour', 'neutral')]"
redact tyre find redacted get tyre want £ 15 cheap,"[('15', 'neutral'), ('tyre', 'neutral')]"
easy quick easy price will beat,"[('easy quick easy price', 'positive')]"
excellent value use redact time,"[('excellent value use', 'positive')]"
great choice good price simple arrange fitting whatmore need,"[('great choice good price simple arrange fitting whatmore need', 'positive')]"
great service perfect friendly garage choose,"[('great service', 'positive')]"
good price easy organise fitting customer service quick resolve issue appointment independent garage,"[('good price easy organise fitting customer service quick resolve issue appointment independent garage', 'positive')]"
order 2 tyre deliver fit local garage garage compete price exact tyre,"[('compete price exact tyre', 'neutral'), ('fit local garage garage', 'positive'), ('tyre', 'neutral'), ('2', 'neutral')]"
helpful fair price,"[('helpful fair price', 'positive')]"
excellent website great price fitter friendly helpful,[]
easy smooth transaction fit local garage quick easy use redacted lieziate drive garage pott row thank,"[('easy smooth transaction', 'positive'), ('quick easy use', 'positive'), ('local garage', 'neutral')]"
redact tyre recommend good price local install,"[('good price local install', 'positive'), ('tyre', 'neutral')]"
good price great service,"[('good price great service', 'positive')]"
use simple quick good price,"[('simple quick good price', 'positive')]"
work agree garage helpful,"[('work agree garage', 'positive')]"
hassle free great value way replace tyre,"[('tyre', 'neutral')]"
replace worn tyre problemsthe recommend garage great,"[('garage', 'neutral'), ('tyre problemsthe', 'neutral')]"
simple process good choose tyre accord noise weather rating,"[('simple process good', 'positive'), ('tyre accord noise weather rating', 'neutral')]"
good price tyre excellent fit run like clockwork,"[('clockwork', 'neutral'), ('good price tyre excellent fit run', 'positive')]"
process easy saving good,"[('process', 'neutral')]"
ease access clear description tyre option selection local garage use,"[('access', 'neutral')]"
good price convenient location easy arrange service,"[('good price convenient location easy arrange service', 'positive')]"
ease booking wide range reasonably price product,"[('wide range reasonably price product', 'neutral'), ('ease', 'positive')]"
redact fine at appeal wheel leave dreadful mess,"[('appeal wheel', 'neutral'), ('dreadful mess', 'negative')]"
fault experience easy good service garage,"[('experience', 'neutral'), ('easy good service garage', 'positive')]"
good price quick efficient service thank,"[('good price quick efficient service thank', 'positive')]"
good price tyre great service seapark garage kinloss,"[('good price tyre great service seapark garage kinloss', 'positive')]"
good price excellent service easy,"[('good price excellent service', 'positive')]"
black n round silverstone excellent,[]
fitting centre time ready appointment,"[('fitting centre time ready appointment', 'positive')]"
fitter ray extremely helpful job quickly professionaly good service good price thank,"[('fitter ray', 'neutral')]"
good price quick service,"[('good price quick service', 'positive')]"
great price faultless service add,"[('great price faultless service', 'positive')]"
good pricing great efficiency garage cramlington fit tyre 25 min tyre alloy,"[('good pricing great efficiency garage', 'positive'), ('cramlington', 'neutral'), ('cramlington fit tyre', 'positive'), ('25 min tyre alloy', 'neutral'), ('25', 'neutral')]"
quick easy purchase appointment local tyre depot day receive excellent service tyre excellent value money,"[('excellent service tyre excellent value money', 'positive'), ('local tyre depot day', 'neutral'), ('day', 'neutral'), ('quick easy purchase appointment', 'positive')]"
manufacturing error tyre order apollo tyre get fit tyre start lose air get check find tiny tiny wall tyre puncture buy tyre spot,"[('tyre spot', 'neutral'), ('tiny tiny wall tyre puncture', 'neutral'), ('manufacturing error tyre order apollo tyre', 'negative'), ('fit tyre start', 'positive'), ('apollo', 'neutral'), ('get check', 'neutral'), ('air', 'neutral')]"
absolute top highly recommend mobile fitter extremely helpful efficient work perfectly tyre fit whilst work,"[('mobile fitter extremely helpful efficient work', 'positive'), ('work', 'neutral'), ('top', 'positive')]"
happy service value miss star book tuesday initially day inform garage not fitting till thursday issue redact work hard issue thing past fair review think deduct star inconvenience people cause issue,"[('thursday', 'neutral'), ('thursday issue redact work hard issue thing', 'negative'), ('fair review', 'positive'), ('issue', 'neutral'), ('happy service value miss star book', 'positive'), ('tuesday', 'neutral'), ('tuesday initially day inform garage', 'neutral'), ('deduct star inconvenience people', 'negative')]"
excellent price tyre fit driveway use future,"[('excellent price tyre fit driveway', 'positive')]"
fantastic service right book tyre mechanic come fix,"[('fix', 'neutral'), ('fantastic service right book tyre mechanic', 'positive')]"
easy use site car index find tyre size req advisable double check issue choose garage accept job staff redacted sort call   bit miff email send 5 min close night elect date work end garage confirm redact great price tyre use nominated garage ahead sure job tyre acknowledge,"[('job staff', 'neutral'), ('tyre size', 'neutral'), ('sort call   bit miff email', 'neutral'), ('job tyre', 'neutral'), ('5 min', 'neutral'), ('nominated garage', 'neutral'), ('easy use site car index', 'positive'), ('great price tyre', 'positive'), ('5 min close night elect date work end garage confirm', 'neutral'), ('req advisable double check issue choose garage', 'neutral')]"
tyre arrive choose garage time appointment redact keep inform rebooke appointment day luckily work late day inconvenient,"[('late day inconvenient', 'negative'), ('tyre arrive', 'neutral'), ('late day', 'neutral'), ('rebooke appointment day', 'neutral')]"
2nd time ve redact website fine fitter great time arrive late reschedule time alloy protector properly let drive away low pressure tyre,"[('2nd', 'neutral'), ('late reschedule time alloy protector', 'neutral'), ('low pressure tyre', 'negative'), ('website fine fitter', 'positive')]"
surprisingly poor service ve redact time past pleased value money customer service come shock experience poor service occassioneverythe fine order go look forward have reasonably price tyre fit convenient time saturday morning later day receive email garage fit tyre saturday slightly annoying ok reply email suggest fitting day follow tuesday finethe day receive email say not deliver tyre garage follow tuesday bear mind friday point suggest possible fitting date new suggest day not convenient begin feel mess reply say slightly ridiculous d alternative arrangement cancel order day later receive response order cancellation send email suggest sternly act cancelrefund order day nearly wek initial order finally cancel apology explanation emaili confuse redact think use reccommend friend family having happily certainly redact remember,"[('have reasonably price', 'neutral'), ('d alternative arrangement', 'neutral'), ('slightly annoying ok reply email', 'negative'), ('day', 'neutral'), ('later day', 'neutral'), ('shock experience', 'negative'), ('use reccommend friend family', 'positive'), ('poor service', 'negative'), ('tyre', 'neutral'), ('occassioneverythe fine order', 'positive'), ('saturday', 'neutral'), ('tuesday', 'neutral'), ('apology explanation emaili confuse redact', 'negative'), ('friday', 'neutral'), ('pleased value money customer service', 'positive'), ('not convenient begin', 'neutral'), ('sternly act cancelrefund order day', 'neutral'), ('fitting day follow', 'neutral'), ('response order cancellation', 'neutral'), ('email garage fit tyre', 'positive'), ('mess reply', 'negative'), ('possible fitting date', 'neutral'), ('convenient time', 'neutral'), ('tyre garage follow tuesday bear mind', 'neutral'), ('nearly wek initial order', 'neutral'), ('surprisingly poor service', 'negative'), ('time', 'neutral'), ('email', 'neutral')]"
easy deal good keen rate home fit twice week fitter time polite occasion definitely issue,"[('polite occasion', 'neutral'), ('good keen rate', 'positive')]"
good quality tyre decent price quality garage staff quick easy professional,"[('good quality tyre decent price quality garage staff', 'positive')]"
excellent service easy use good price,"[('good price', 'positive'), ('excellent service', 'positive')]"
excellent servce plenty choice easy buy plenty garage choose,"[('excellent servce plenty choice', 'positive'), ('choose', 'neutral'), ('plenty garage', 'neutral')]"
easy fast service good price,"[('easy fast service good price', 'positive')]"
good service   price,"[('good service   price', 'positive')]"
second time redact trouble free purchase great service price,"[('second', 'neutral'), ('trouble', 'negative')]"
good value tyre deliver time concern thank,"[('good value', 'positive'), ('tyre', 'neutral')]"
excellent price experience fitting centre,"[('excellent price experience fitting centre', 'positive')]"
good michelin tyre good price fit garage service porsche know provide good service,"[('michelin', 'neutral'), ('good service', 'positive'), ('good michelin tyre good price fit garage service porsche', 'positive')]"
great price good quality tyre local garage fit tyre class 👍 🏻,"[('great price good quality tyre local garage fit tyre class', 'positive')]"
get reassuring confidence choose right tyre right price know fitting time select s want,"[('right price', 'neutral'), ('right tyre', 'neutral'), ('reassuring confidence', 'positive'), ('select s', 'neutral')]"
great price great backup garage choose competent mess alloy,"[('competent mess alloy', 'negative'), ('great price great backup garage', 'positive')]"
great price simple process,"[('great price simple process', 'positive')]"
great price easy use website helpful staff phone,"[('great price easy use website helpful staff phone', 'positive')]"
tyre time yes good product,"[('tyre time', 'neutral'), ('yes good product', 'positive')]"
"order tyre book slot day later tell slot unavailable bc rebooke 9 friday arrive garage wait 20 minute tell bc deliver tyre contact bc rebook follow wednesday "" "" 9 booking arrive garage tell appointment 10 story busy need wait hour guest home worth fiver saving booking directly garage booking double mileage","[('slot', 'neutral'), ('saving booking', 'neutral'), ('friday', 'neutral'), ('arrive garage', 'neutral'), ('double mileage', 'neutral'), ('hour', 'neutral'), ('9', 'neutral'), ('bc rebooke', 'neutral'), ('20 minute', 'neutral'), ('10 story', 'neutral'), ('10', 'neutral'), ('bc', 'neutral'), ('9 friday arrive garage', 'neutral'), ('appointment', 'neutral'), ('order tyre book', 'neutral'), ('wednesday', 'neutral')]"
mark mobile fitter terrible communication delivery week late date say getting fit morning date redact email mobile fitter communication know day waste,"[('day waste', 'negative'), ('morning', 'neutral'), ('mark mobile fitter terrible', 'negative'), ('fit morning date redact email mobile fitter communication', 'positive'), ('late date', 'neutral')]"
get 2 new tyre go fitting company great manage redact come forward fitting date help appreciate,"[('fitting company great manage redact', 'positive'), ('2 new tyre', 'neutral'), ('fitting date help', 'positive'), ('2', 'neutral')]"
satisfied customer good price tyre want excellent service fitting station,"[('satisfied customer good price tyre', 'positive'), ('excellent service fitting station', 'positive')]"
stressfree way sort tyre exactly say super fast guy centre nicer highly recommend,"[('tyre', 'neutral')]"
service 100 percent fitting station 100 percentperfectly satisfied transaction,"[('100', 'neutral'), ('100 percent', 'neutral'), ('percentperfectly satisfied transaction', 'positive'), ('service 100 percent fitting station', 'neutral')]"
redact simple way buy tyre visit websitechoose tyre vast range choose local tyre fitting company choose day choose time available list choose appointment simple excellent service,"[('tyre vast range', 'neutral'), ('local tyre fitting company', 'neutral'), ('appointment simple excellent service', 'positive'), ('available list', 'neutral'), ('tyre visit', 'neutral'), ('simple way', 'neutral'), ('time', 'neutral')]"
order 4 tyre fit decent price problem get cancel fitting day 4 time not deliver tyre fitting garage time originally book thursday go follow friday week end cancel order refund   customer service totally pant   send email near end day cancel fitting day ask happen time cancel   go away follow day fitting day not risk fxxke useless stay away not bother not time money stay away evilthey apologise ok change apologise end not tyre job say straight cancellation mean find different tyre absolutely rubbish absolutely atrocious want save time money sanity look past redact tyre google search find betterj,"[('evilthey', 'neutral'), ('friday week end', 'neutral'), ('not tyre job', 'neutral'), ('tyre google search', 'neutral'), ('order refund   customer service', 'neutral'), ('different tyre', 'neutral'), ('tyre fitting garage time', 'neutral'), ('thursday', 'neutral'), ('useless stay', 'negative'), ('not risk', 'positive'), ('book', 'neutral'), ('fitting day', 'neutral'), ('straight cancellation mean', 'positive'), ('redact', 'neutral'), ('betterj', 'neutral'), ('day 4', 'neutral'), ('ok change apologise', 'positive'), ('time money sanity', 'neutral'), ('4 tyre fit decent price problem', 'negative'), ('4', 'neutral'), ('end day', 'neutral'), ('not time money', 'neutral'), ('email', 'neutral')]"
good clear website competative price good range fitter experience mobile fitter go 2 hour late arrange day good end ve good experience fitter use,"[('good clear website competative price good range fitter experience mobile fitter', 'positive'), ('good end', 'positive'), ('2 hour', 'neutral')]"
great service great quick easy service cheap,"[('great service great quick easy service', 'positive')]"
good tyre good price thankyou,"[('good tyre good price thankyou', 'positive')]"
take money supply mybad news take money supply correct tyre reply email,"[('money supply mybad news', 'neutral'), ('money supply correct tyre reply email', 'neutral')]"
redact price delivery choice tyre class,"[('redact price delivery choice tyre class', 'neutral')]"
great price easy navigate good local fitter,"[('great price', 'positive')]"
price competitive vast range garage location fitting easy,"[('price competitive vast range garage location', 'positive')]"
receive email night tyre suppose fit say delay rearrange fitting day,"[('fit say delay', 'positive'), ('night', 'neutral'), ('tyre', 'neutral')]"
straightforward process good price,"[('straightforward process good price', 'positive')]"
good price professional fitting facility,"[('good price professional fitting facility', 'positive')]"
buy redact time online easy website use good communication perfect tyre,"[('perfect tyre', 'positive'), ('online easy website', 'positive'), ('redact time', 'neutral'), ('good communication', 'positive')]"
tyre time order tyre deliver drive car away new tyre return 6 hrs later second fit deliver,"[('6', 'neutral'), ('second', 'neutral'), ('tyre time order tyre', 'neutral'), ('drive car', 'neutral'), ('tyre', 'neutral')]"
good price choice local garage fit convenience,"[('good price choice local garage fit convenience', 'positive')]"
fair price easy order keep informed fitting arrange locally,"[('fair price easy order', 'positive'), ('informed fitting arrange', 'neutral')]"
great value choice sevice,"[('great value choice sevice', 'positive')]"
easy web site use decent price garage locally excellent at highly recommend,"[('highly recommend', 'positive'), ('decent price garage', 'neutral'), ('easy web site', 'positive')]"
convenient service great pricing easy arrange excellent communication highly recommend definitely use,"[('easy arrange excellent communication', 'positive'), ('convenient service great pricing', 'positive')]"
poor communication order delay response email end have phone,"[('poor communication order', 'negative'), ('phone', 'neutral'), ('response email end', 'neutral')]"
exact tyre order fit promise movement wheel spec perfectly knowledgable guy courteous time ve service   recommend people know,"[('people', 'neutral'), ('exact tyre order fit promise movement wheel spec', 'positive'), ('service', 'neutral'), ('perfectly knowledgable guy courteous time', 'positive')]"
price quick easy friendly service,"[('price', 'neutral'), ('quick easy friendly service', 'positive')]"
helpful professional good value,"[('helpful professional good value', 'positive')]"
easy efficient process start tyre booking fitting 👍,"[('easy efficient process', 'positive'), ('tyre booking', 'neutral')]"
good service arrive early take right away 8,"[('8', 'neutral'), ('good service', 'positive')]"
